time;flow;flowhash;is_last;name;nat_id;received_icmp_code;received_icmp_description;received_icmp_extensions;received_icmp_mpls_labels;received_icmp_type;received_ip_dst;received_ip_id;received_ip_src;received_ip_ttl;received_timestamp;rtt_usec;sent_ip_dst;sent_ip_src;sent_ip_ttl;sent_timestamp;sent_udp_dport;sent_udp_sport;zerottl_forwarding_bug
2023-04-16 22:29:50.743483;33434;25516;False;192.168.31.1;0;11;TTL expired in transit;[];[];0;192.168.31.73;37456;192.168.31.1;64;1681673380.219039;13318;8.8.8.8;192.168.31.73;1;1681673380.205721;33434;12345;False
2023-04-16 22:29:50.750341;33434;25516;False;188.242.32.1.pool.sknt.ru;0;11;TTL expired in transit;[];[];0;192.168.31.73;23462;188.242.32.1;254;1681673380.255880;24831;8.8.8.8;192.168.31.73;2;1681673380.231049;33434;12345;False
2023-04-16 22:29:50.750716;33434;25516;False;router.sknt.ru;0;11;TTL expired in transit;[];[];0;192.168.31.73;7962;93.100.0.20;252;1681673380.273095;13845;8.8.8.8;192.168.31.73;3;1681673380.259250;33434;12345;False
2023-04-16 22:29:50.750937;33434;25516;False;k12-core;0;11;TTL expired in transit;[];[];0;192.168.31.73;28409;93.100.0.112;252;1681673380.295481;11873;8.8.8.8;192.168.31.73;4;1681673380.283608;33434;12345;False
2023-04-16 22:29:50.751351;33434;25516;False;sel-core;0;11;TTL expired in transit;[];[];0;192.168.31.73;30281;185.37.128.161;251;1681673380.323847;15480;8.8.8.8;192.168.31.73;5;1681673380.308367;33434;12345;False
2023-04-16 22:29:50.751554;33434;25516;False;72.14.216.110;0;11;TTL expired in transit;[];[];0;192.168.31.73;25920;72.14.216.110;54;1681673380.345828;12935;8.8.8.8;192.168.31.73;6;1681673380.332893;33434;12345;False
2023-04-16 22:29:50.751803;33434;25516;False;;;;;;;;;;;;;None;8.8.8.8;192.168.31.73;7;1681673380.359080;33434;12345;
2023-04-16 22:29:50.752006;33434;25516;False;74.125.37.218;0;11;TTL expired in transit;[];[];0;192.168.31.73;29425;74.125.37.218;55;1681673380.464499;41643;8.8.8.8;192.168.31.73;8;1681673380.422856;33434;12345;False
2023-04-16 22:29:50.752252;33434;25516;False;74.125.244.181;0;11;TTL expired in transit;[];[];0;192.168.31.73;0;74.125.244.181;248;1681673380.495746;15071;8.8.8.8;192.168.31.73;9;1681673380.480675;33434;12345;False
2023-04-16 22:29:50.752689;33434;25516;False;142.251.51.187;0;11;TTL expired in transit;[];[];0;192.168.31.73;0;142.251.51.187;245;1681673380.525144;18660;8.8.8.8;192.168.31.73;10;1681673380.506484;33434;12345;False
2023-04-16 22:29:50.752906;33434;25516;True;;;;;;;;;;;;;None;8.8.8.8;192.168.31.73;11;1681673380.530688;33434;12345;
2023-04-16 22:29:50.753110;33435;25517;False;192.168.31.1;0;11;TTL expired in transit;[];[];0;192.168.31.73;37457;192.168.31.1;64;1681673381.145730;3720;8.8.8.8;192.168.31.73;1;1681673381.142010;33435;12345;False
2023-04-16 22:29:50.753378;33435;25517;False;188.242.32.1.pool.sknt.ru;0;11;TTL expired in transit;[];[];0;192.168.31.73;23502;188.242.32.1;254;1681673381.181062;7006;8.8.8.8;192.168.31.73;2;1681673381.174056;33435;12345;False
2023-04-16 22:29:50.753575;33435;25517;False;router.sknt.ru;0;11;TTL expired in transit;[];[];0;192.168.31.73;8007;93.100.0.20;252;1681673381.209992;3571;8.8.8.8;192.168.31.73;3;1681673381.206421;33435;12345;False
2023-04-16 22:29:50.753776;33435;25517;False;k12-core;0;11;TTL expired in transit;[];[];0;192.168.31.73;28630;93.100.0.112;252;1681673381.249907;5995;8.8.8.8;192.168.31.73;4;1681673381.243912;33435;12345;False
