timestring;timeunix;is_last;name;nat_id;received_ip_src;received_ip_ttl;received_timestamp;rtt_usec;sent_ip_dst;sent_ip_ttl;sent_timestamp;sent_udp_dport
2023-05-08 15:17:17.498247;1683548237.498646;False;192.168.0.1;0;192.168.0.1;64;1683548225.576353;35833;8.8.8.8;1;1683548225.540520;33434;
2023-05-08 15:17:17.511093;1683548237.511111;False;100.79.0.1;0;100.79.0.1;254;1683548225.653975;41450;8.8.8.8;2;1683548225.612525;33434;
2023-05-08 15:17:17.511277;1683548237.511285;False;10.1.139.5;0;10.1.139.5;62;1683548225.697824;27402;8.8.8.8;3;1683548225.670422;33434;
2023-05-08 15:17:17.512445;1683548237.5124748;False;10.1.139.17;0;10.1.139.17;254;1683548225.741527;38479;8.8.8.8;4;1683548225.703048;33434;
2023-05-08 15:17:17.513193;1683548237.51321;False;10.0.21.163;0;10.0.21.163;251;1683548225.729768;8589;8.8.8.8;5;1683548225.721179;33434;
2023-05-08 15:17:17.513396;1683548237.513403;False;10.17.0.139;0;10.17.0.139;250;1683548225.769417;31089;8.8.8.8;6;1683548225.738328;33434;
2023-05-08 15:17:17.513574;1683548237.51358;False;10.17.0.100;0;10.17.0.100;249;1683548225.764274;9439;8.8.8.8;7;1683548225.754835;33434;
2023-05-08 15:17:17.513686;1683548237.513691;False;10.17.0.66;16364;10.17.0.66;248;1683548225.780857;9446;8.8.8.8;8;1683548225.771411;33434;
2023-05-08 15:17:17.514171;1683548237.5141811;False;10.17.0.158;16364;10.17.0.158;248;1683548225.798570;9533;8.8.8.8;9;1683548225.789037;33434;
2023-05-08 15:17:17.514591;1683548237.514601;False;10.3.1.129;16364;10.3.1.129;247;1683548225.843519;38703;8.8.8.8;10;1683548225.804816;33434;
2023-05-08 15:17:17.515588;1683548237.515612;False;72.14.220.188;16364;72.14.220.188;243;1683548225.848725;25533;8.8.8.8;11;1683548225.823192;33434;
2023-05-08 15:17:17.515879;1683548237.515887;False;108.170.250.130;16364;108.170.250.130;243;1683548225.854695;16633;8.8.8.8;12;1683548225.838062;33434;
2023-05-08 15:17:17.516080;1683548237.516087;False;142.250.238.214;16364;142.250.238.214;240;1683548225.882272;30444;8.8.8.8;13;1683548225.851828;33434;
2023-05-08 15:17:17.516198;1683548237.516204;False;142.250.235.62;16364;142.250.235.62;241;1683548225.899307;32686;8.8.8.8;14;1683548225.866621;33434;
2023-05-08 15:17:17.516337;1683548237.516342;False;216.239.48.85;16364;216.239.48.85;241;1683548225.917010;34517;8.8.8.8;15;1683548225.882493;33434;
2023-05-08 15:17:17.516428;1683548237.516433;True;;;;;;None;8.8.8.8;16;1683548225.898518;33434;
2023-05-08 15:17:17.516617;1683548237.516623;False;192.168.0.1;0;192.168.0.1;64;1683548226.262720;2514;8.8.8.8;1;1683548226.260206;33435;
2023-05-08 15:17:17.516741;1683548237.517146;False;100.79.0.1;0;100.79.0.1;254;1683548226.284645;9077;8.8.8.8;2;1683548226.275568;33435;
2023-05-08 15:17:17.518190;1683548237.5182002;False;10.1.139.5;0;10.1.139.5;62;1683548226.295380;5170;8.8.8.8;3;1683548226.290210;33435;
2023-05-08 15:17:17.518344;1683548237.5183501;False;10.1.139.17;0;10.1.139.17;254;1683548226.311906;5854;8.8.8.8;4;1683548226.306052;33435;
2023-05-08 15:17:17.518456;1683548237.518461;False;10.0.21.163;0;10.0.21.163;251;1683548226.322668;2292;8.8.8.8;5;1683548226.320376;33435;
2023-05-08 15:17:17.518581;1683548237.518616;False;10.17.0.139;0;10.17.0.139;250;1683548226.340289;4101;8.8.8.8;6;1683548226.336188;33435;
2023-05-08 15:17:17.518737;1683548237.518743;False;10.17.0.100;0;10.17.0.100;249;1683548226.356642;4502;8.8.8.8;7;1683548226.352140;33435;
2023-05-08 15:17:17.518951;1683548237.5189571;False;10.17.0.66;16364;10.17.0.66;248;1683548226.379610;9180;8.8.8.8;8;1683548226.370430;33435;
2023-05-08 15:17:17.519053;1683548237.519059;False;10.17.0.150;16364;10.17.0.150;248;1683548226.455298;66837;8.8.8.8;9;1683548226.388461;33435;
2023-05-08 15:17:17.519244;1683548237.51925;False;10.3.1.129;16364;10.3.1.129;247;1683548226.433429;25823;8.8.8.8;10;1683548226.407606;33435;
2023-05-08 15:17:17.519357;1683548237.5193632;False;72.14.220.188;16364;72.14.220.188;243;1683548226.443802;20158;8.8.8.8;11;1683548226.423644;33435;
2023-05-08 15:17:17.520190;1683548237.5201972;False;108.170.250.99;16364;108.170.250.99;242;1683548226.460932;20163;8.8.8.8;12;1683548226.440769;33435;
2023-05-08 15:17:17.520386;1683548237.5204139;False;142.251.49.24;16364;142.251.49.24;241;1683548226.483243;27982;8.8.8.8;13;1683548226.455261;33435;
2023-05-08 15:17:17.520521;1683548237.5205262;False;172.253.65.82;16364;172.253.65.82;240;1683548226.493711;23255;8.8.8.8;14;1683548226.470456;33435;
2023-05-08 15:17:17.520627;1683548237.520632;False;172.253.51.223;16364;172.253.51.223;241;1683548226.515919;28908;8.8.8.8;15;1683548226.487011;33435;
2023-05-08 15:17:17.520730;1683548237.520735;True;;;;;;None;8.8.8.8;16;1683548226.503710;33435;
2023-05-08 15:17:17.520835;1683548237.520839;False;192.168.0.1;0;192.168.0.1;64;1683548226.781432;20195;8.8.8.8;1;1683548226.761237;33436;
2023-05-08 15:17:17.520936;1683548237.52094;False;100.79.0.1;0;100.79.0.1;254;1683548226.786905;10653;8.8.8.8;2;1683548226.776252;33436;
2023-05-08 15:17:17.521079;1683548237.5211;False;10.1.139.5;0;10.1.139.5;62;1683548226.799538;5649;8.8.8.8;3;1683548226.793889;33436;
2023-05-08 15:17:17.521234;1683548237.52124;False;10.1.139.17;0;10.1.139.17;254;1683548226.822745;10686;8.8.8.8;4;1683548226.812059;33436;
2023-05-08 15:17:17.521424;1683548237.521431;False;10.0.21.163;0;10.0.21.163;251;1683548226.833250;4058;8.8.8.8;5;1683548226.829192;33436;
2023-05-08 15:17:17.521555;1683548237.521575;False;10.17.0.139;0;10.17.0.139;250;1683548226.849972;4322;8.8.8.8;6;1683548226.845650;33436;
2023-05-08 15:17:17.521771;1683548237.521777;False;10.17.0.100;0;10.17.0.100;249;1683548226.879322;2809;8.8.8.8;7;1683548226.876513;33436;
2023-05-08 15:17:17.522022;1683548237.5220292;False;10.17.0.66;16364;10.17.0.66;248;1683548226.901636;5280;8.8.8.8;8;1683548226.896356;33436;
2023-05-08 15:17:17.522257;1683548237.5222661;False;10.17.0.150;16364;10.17.0.150;248;1683548226.923679;6298;8.8.8.8;9;1683548226.917381;33436;
2023-05-08 15:17:17.522492;1683548237.522512;False;10.3.1.129;16364;10.3.1.129;247;1683548226.945645;11346;8.8.8.8;10;1683548226.934299;33436;
2023-05-08 15:17:17.522720;1683548237.5227258;False;72.14.220.188;16364;72.14.220.188;243;1683548226.961528;11067;8.8.8.8;11;1683548226.950461;33436;
2023-05-08 15:17:17.522855;1683548237.522861;False;108.170.250.83;16364;108.170.250.83;242;1683548226.983331;17312;8.8.8.8;12;1683548226.966019;33436;
2023-05-08 15:17:17.523036;1683548237.523042;False;;;;;;None;8.8.8.8;13;1683548226.981272;33436;
2023-05-08 15:17:17.523150;1683548237.523156;False;142.251.237.144;16364;142.251.237.144;241;1683548227.48898;50863;8.8.8.8;14;1683548226.998035;33436;
